,Episode,CartPosition,CartVelocity,PoleAngle,PoleTipVelocity,Action,QValue,Reward
20,0.0,-0.10292107333839967,0.20734447275194634,0.10689574185994655,-0.16325955458717162,1.0,21.0,1.0
21,0.0,-0.09877418388336075,0.010867555878859458,0.10363055076820311,0.16114114192686535,0.0,22.0,1.0
22,0.0,-0.09855683276578356,0.2043650245640094,0.10685337360674042,-0.09713505797170974,1.0,23.0,1.0
23,0.0,-0.09446953227450337,0.39780616784747613,0.10491067244730623,-0.3542867216015497,1.0,24.0,1.0
24,0.0,-0.08651340891755385,0.201361107724144,0.09782493801527524,-0.030452047270989657,0.0,25.0,1.0
25,0.0,-0.08248618676307097,0.00498229649579815,0.09721589706985545,0.2914225077951257,0.0,26.0,1.0
26,0.0,-0.08238654083315501,0.19859337264102728,0.10304434722575796,0.030913641475673048,1.0,27.0,1.0
27,0.0,-0.07841467338033446,0.0021562292824107154,0.10366262005527142,0.3542478465077412,0.0,28.0,1.0
28,0.0,-0.07837154879468625,0.19566319518918426,0.11074757698542625,0.09596781803855337,1.0,29.0,1.0
29,0.0,-0.07445828489090256,-0.0008574444385828217,0.11266693334619732,0.4214361470261871,0.0,30.0,1.0
30,0.0,-0.07447543377967422,0.19250298064795493,0.12109565628672106,0.16628847158731902,1.0,31.0,1.0
31,0.0,-0.07062537416671512,0.3857021412376419,0.12442142571846744,-0.08587286313861398,1.0,32.0,1.0
32,0.0,-0.06291133134196228,0.5788413100896934,0.12270396845569516,-0.33685647010387965,1.0,33.0,1.0
33,0.0,-0.05133450514016841,0.7720229091948299,0.11596683905361757,-0.5884656504260579,1.0,34.0,1.0
34,0.0,-0.03589404695627181,0.5754843187664468,0.10419752604509641,-0.26161999406038877,0.0,35.0,1.0
35,0.0,-0.024384360580942874,0.7689765036915575,0.09896512616388864,-0.5197054501530989,1.0,36.0,1.0
36,0.0,-0.009004830507111724,0.9625761454922952,0.08857101716082666,-0.7796356971002134,1.0,37.0,1.0
37,0.0,0.01024669240273418,1.1563759932797337,0.07297830321882239,-1.0431901235602241,1.0,38.0,1.0
38,0.0,0.03337421226832885,0.9603648001252623,0.052114500747617906,-0.7285193471522569,0.0,39.0,1.0
39,0.0,0.0525815082708341,1.1547290878265009,0.03754411380457277,-1.0043552309787376,1.0,40.0,1.0
40,0.0,0.07567609002736411,1.3493299853815883,0.017457009184998016,-1.2850154986473754,1.0,41.0,1.0
41,0.0,0.10266268973499587,1.5442254045954638,-0.008243300787949492,-1.5721819832032624,1.0,42.0,1.0
42,0.0,0.13354719782690516,1.3492027604239791,-0.03968694045201474,-1.2820814590094012,0.0,43.0,1.0
43,0.0,0.16053125303538474,1.5448071249176645,-0.06532856963220277,-1.5869218684012365,1.0,44.0,1.0
44,0.0,0.19142739553373803,1.350519611812261,-0.0970670070002275,-1.3153052066545987,0.0,45.0,1.0
45,0.0,0.21843778776998324,1.5467264989791931,-0.12337311113331947,-1.6367230366051664,1.0,46.0,1.0
46,0.0,0.2493723177495671,1.3532487680840333,-0.1561075718654228,-1.3848920725131628,0.0,47.0,1.0
47,0.0,0.27643729311124776,1.1603796448143735,-0.18380541331568606,-1.1448157820827165,0.0,48.0,1.0
48,0.0,0.29964488600753525,0.9680711245122006,-0.2067017289573404,-0.9149471005102399,0.0,49.0,1.0
49,0.0,0.3190063084977793,0.7762534247033371,-0.2250006709675452,-0.6936838329010843,0.0,50.0,1.0
50,1.0,-0.03094074777594384,-0.16058725494011217,-0.024944424961624752,0.29093017867418985,0.0,51.0,1.0
51,1.0,-0.03415249287474609,0.034881330295878504,-0.019125821388140955,-0.00951438535848953,1.0,52.0,1.0
52,1.0,-0.033454866268828515,0.2302722760832404,-0.019316109095310747,-0.30816984928290525,1.0,53.0,1.0
53,1.0,-0.028849420747163707,0.03543080634523388,-0.025479506080968852,-0.021640749192808895,0.0,54.0,1.0
54,1.0,-0.02814080462025903,-0.15931665218994048,-0.02591232106482503,0.2628954561542343,0.0,55.0,1.0
55,1.0,-0.03132713766405784,0.03616540432220203,-0.020654411941740343,-0.037846561920191646,1.0,56.0,1.0
56,1.0,-0.0306038295776138,-0.15865436507164798,-0.021411343180144177,0.24824879574193864,0.0,57.0,1.0
57,1.0,-0.033776916879046756,-0.3534640935274065,-0.016446367265305403,0.5341019548098245,0.0,58.0,1.0
58,1.0,-0.040846198749594886,-0.5483509424948123,-0.0057643281691089135,0.8215576799636573,0.0,59.0,1.0
59,1.0,-0.05181321759949113,-0.7433935482045539,0.010666825430164232,1.1124220248645662,0.0,60.0,1.0
60,1.0,-0.06668108856358221,-0.5484133086879909,0.032915265927455556,0.8231042914473241,1.0,61.0,1.0
61,1.0,-0.07764935473734202,-0.7439697228392457,0.04937735175640204,1.1259553663891682,0.0,62.0,1.0
62,1.0,-0.09252874919412694,-0.5495283768748145,0.0718964590841854,0.8491598722478821,1.0,63.0,1.0
63,1.0,-0.10351931673162323,-0.35545671871047213,0.08887965652914305,0.5799237962536173,1.0,64.0,1.0
64,1.0,-0.11062845110583268,-0.5517043716631342,0.1004781324542154,0.8992295624625941,0.0,65.0,1.0
65,1.0,-0.12166253853909537,-0.7480339686996562,0.11846272370346728,1.221729511726624,0.0,66.0,1.0
66,1.0,-0.13662321791308848,-0.9444661327371436,0.14289731393799976,1.5490593521129024,0.0,67.0,1.0
67,1.0,-0.15551254056783137,-1.1409846334270273,0.1738785009802578,1.8827015713502195,0.0,1.0,1.0
68,1.0,-0.17833223323637193,-0.9481304836469435,0.21153253240726222,1.6486454413002471,1.0,65.0,1.0
69,2.0,-0.028750674848827585,0.24453946044685831,0.017119529036537594,-0.3297512279192242,1.0,65.0,1.0
70,2.0,-0.02385988563989042,0.04917804317950039,0.010524504478153111,-0.03171914742010579,0.0,66.0,1.0
71,2.0,-0.022876324776300413,0.24414749895450902,0.009890121529750995,-0.3210629871646501,1.0,67.0,1.0
72,2.0,-0.01799337479721023,0.04888611024540901,0.0034688617864579926,-0.025277580203625305,0.0,68.0,1.0
73,2.0,-0.01701565259230205,-0.1462854151263076,0.0029633101823854863,0.26849778980110545,0.0,69.0,1.0
74,2.0,-0.019941360894828203,-0.34144953048624727,0.008333265978407596,0.5621138894281201,0.0,70.0,1.0
75,2.0,-0.026770351504553147,-0.5366874265509177,0.01957554376697,0.8574105169498837,0.0,71.0,1.0
76,2.0,-0.0375041000355715,-0.34183756917180347,0.036723754105967676,0.5709465715282658,1.0,72.0,1.0
77,2.0,-0.04434085141900757,-0.1472493337696808,0.04814268553653299,0.2900553746079813,1.0,73.0,1.0
78,2.0,-0.04728583809440119,-0.3430235296569425,0.053943793028692615,0.5975249048080162,0.0,74.0,1.0
79,2.0,-0.05414630868754004,-0.5388571760138214,0.06589429112485294,0.9066998655122217,0.0,75.0,1.0
80,2.0,-0.06492345220781648,-0.7348064368349567,0.08402828843509738,1.219344775282901,0.0,76.0,1.0
81,2.0,-0.07961958094451561,-0.5408621307029132,0.1084151839407554,0.9541300118005098,1.0,77.0,1.0
82,2.0,-0.09043682355857388,-0.3473525300293159,0.1274977841767656,0.6973814632526325,1.0,78.0,1.0
83,2.0,-0.0973838741591602,-0.5439902791221558,0.14144541344181827,1.0273268471498724,0.0,79.0,1.0
84,2.0,-0.10826367974160331,-0.35100539242084294,0.16199195038481573,0.7821868771827194,1.0,80.0,1.0
85,2.0,-0.11528378759002017,-0.15843647219103255,0.17763568792847012,0.5445327863807377,1.0,81.0,1.0
86,2.0,-0.11845251703384083,-0.35555126399700854,0.18852634365608487,0.8875030136137249,0.0,82.0,1.0
87,2.0,-0.125563542313781,-0.5526627585941232,0.20627640392835936,1.23303046688906,0.0,83.0,1.0
88,2.0,-0.13661679748566347,-0.7497510454793411,0.23093701326614055,1.5826116953695344,0.0,84.0,1.0
89,3.0,0.04782888739720793,-0.2304467864146545,0.019083159222346616,0.28258005788590174,0.0,85.0,1.0
90,3.0,0.04321995166891484,-0.03560215389474919,0.02473476038006465,-0.0040235672307230574,1.0,86.0,1.0
91,3.0,0.042507908591019855,0.15915649284376654,0.02465428903545019,-0.2888008976061637,1.0,87.0,1.0
92,3.0,0.04569103844789518,0.35391835429038077,0.018878271083326917,-0.5736072804183074,1.0,88.0,1.0
93,3.0,0.052769405533702796,0.15853687933621716,0.007406125474960768,-0.2750374082780256,0.0,89.0,1.0
94,3.0,0.05594014312042714,0.3535523836596547,0.001905377309400256,-0.565375261263589,1.0,90.0,1.0
95,3.0,0.06301119079362023,0.5486475514176201,-0.009402127915871524,-0.8574573010963908,1.0,91.0,1.0
96,3.0,0.07398414182197263,0.7438963280232677,-0.026551273937799342,-1.1530817059861505,1.0,92.0,1.0
97,3.0,0.08886206838243799,0.5491305888455921,-0.04961290805752235,-0.8688412265891372,0.0,93.0,1.0
98,3.0,0.09984468015934983,0.7448911425581219,-0.0669897325893051,-1.176700953405418,1.0,94.0,1.0
99,3.0,0.11474250301051227,0.9408162888821667,-0.09052375165741347,-1.4896097447021008,1.0,95.0,1.0
100,3.0,0.13355882878815561,1.1369164415835085,-0.12031594655145549,-1.809133231831986,1.0,96.0,1.0
101,3.0,0.1562971576198258,0.9433242023551968,-0.15649861118809522,-1.5561317665482428,0.0,97.0,1.0
102,3.0,0.17516364166692971,1.13993640862508,-0.18762124651906006,-1.8932689063899142,1.0,98.0,1.0
103,3.0,0.19796236983943133,1.336533674536708,-0.22548662464685834,-2.237827180729027,1.0,99.0,1.0
104,4.0,0.008257385433438815,-0.19837056434310124,-0.03547574944278752,0.23352772076357006,0.0,100.0,1.0
105,4.0,0.00428997414657679,-0.39296814277465275,-0.030805195027516122,0.5148127449230576,0.0,101.0,1.0
106,4.0,-0.003569388708916265,-0.5876430326455839,-0.02050894012905497,0.797631241673405,0.0,102.0,1.0
107,4.0,-0.015322249361827942,-0.39224577751436723,-0.004556315295586869,0.49856779160337417,1.0,103.0,1.0
108,4.0,-0.023167164912115287,-0.19705988439558506,0.005415040536480615,0.20445243890358827,1.0,104.0,1.0
109,4.0,-0.027108362600026987,-0.0020157889074312596,0.009504089314552381,-0.08651740079241477,1.0,105.0,1.0
110,4.0,-0.02714867837817561,0.19296864869447763,0.007773741298704086,-0.37618668772784913,1.0,106.0,1.0
111,4.0,-0.02328930540428606,0.3879793285704577,0.0002500075441471024,-0.6664084121377719,1.0,107.0,1.0
112,4.0,-0.015529718832876904,0.5830978017440902,-0.013078160698608336,-0.9590126105342767,1.0,108.0,1.0
113,4.0,-0.003867762797995099,0.7783931132094839,-0.03225841290929387,-1.2557753954976365,1.0,109.0,1.0
114,4.0,0.01170009946619458,0.5836986719570212,-0.057373920819246596,-0.973367999114785,0.0,110.0,1.0
115,4.0,0.023374072905335004,0.389391488162725,-0.07684128080154229,-0.6992454823246479,0.0,111.0,1.0
116,4.0,0.031161902668589505,0.5854899480105287,-0.09082619044803525,-1.0150943007208764,1.0,112.0,1.0
117,4.0,0.04287170162880008,0.3916889045389699,-0.11112807646245278,-0.7522571690692961,0.0,113.0,1.0
118,4.0,0.05070547971957948,0.19826044455159728,-0.1261732198438387,-0.4965086371888472,0.0,114.0,1.0
119,4.0,0.054670688610611425,0.3949146351241556,-0.13610339258761564,-0.8261416140178759,1.0,115.0,1.0
120,4.0,0.06256898131309453,0.20189026148352895,-0.15262622486797317,-0.5791735964860836,0.0,116.0,1.0
121,4.0,0.06660678654276511,0.009199501869062487,-0.16420969679769484,-0.3381955400654151,0.0,117.0,1.0
122,4.0,0.06679077658014636,0.20623084364251235,-0.17097360759900315,-0.6778277886755013,1.0,118.0,1.0
123,4.0,0.0709153934529966,0.40326368735425366,-0.18453016337251318,-1.0190895240016846,1.0,119.0,1.0
124,4.0,0.07898066720008168,0.6003011090356534,-0.20491195385254687,-1.3635723720472266,1.0,120.0,1.0
125,4.0,0.09098668938079474,0.4082490502967867,-0.2321834012934914,-1.1413445944984564,0.0,121.0,1.0
126,5.0,0.0363931485501964,-0.24266621460398602,0.010971132233075012,0.33621380564589476,0.0,122.0,1.0
127,5.0,0.03153982425811668,-0.43794256560973827,0.017695408345992907,0.6323361520641496,0.0,123.0,1.0
128,5.0,0.022780972945921914,-0.24307190127524206,0.0303421313872759,0.34527809744073334,1.0,124.0,1.0
129,5.0,0.017919534920417073,-0.04839441534554939,0.03724769333609057,0.062315497773686,1.0,125.0,1.0
130,5.0,0.016951646613506087,0.14617424169495294,0.03849400329156429,-0.21838676430180082,1.0,126.0,1.0
131,5.0,0.019875131447405145,-0.049476231362495626,0.034126268005528274,0.08618597991410498,0.0,127.0,1.0
132,5.0,0.01888560682015523,0.14514034861679745,0.035849987603810377,-0.1955377429090875,1.0,128.0,1.0
133,5.0,0.02178841379249118,0.33973164432194447,0.031939232745628626,-0.4766994980342234,1.0,129.0,1.0
134,5.0,0.02858304667893007,0.5343884066405086,0.022405242784944157,-0.7591471870133557,1.0,130.0,1.0
135,5.0,0.03927081481174024,0.7291945833757929,0.007222299044677043,-1.0446965211293473,1.0,131.0,1.0
136,5.0,0.053854706479256095,0.5339774925248115,-0.013671631377909903,-0.749755184487469,0.0,132.0,1.0
137,5.0,0.06453425632975232,0.7292853219403218,-0.028666735067659283,-1.046708884195112,1.0,133.0,1.0
138,5.0,0.07911996276855876,0.9247757821668097,-0.04960091275156152,-1.3482509607490791,1.0,134.0,1.0
139,5.0,0.09761547841189495,1.120484786174816,-0.0765659319665431,-1.6560301104856983,1.0,135.0,1.0
140,5.0,0.12002517413539127,1.3164119835490888,-0.10968653417625707,-1.9715482796514805,1.0,136.0,1.0
141,5.0,0.14635341380637304,1.1226053215505774,-0.14911749976928668,-1.7147685366421026,0.0,137.0,1.0
142,5.0,0.1688055202373846,0.9294760845358839,-0.18341287050212873,-1.4719677900072368,0.0,138.0,1.0
143,5.0,0.18739504192810227,1.1263052293500184,-0.21285222630227346,-1.81588093147947,1.0,139.0,1.0
144,6.0,0.02736859553396716,-0.17165616967681205,-0.024161060054965225,0.29694045283345044,0.0,140.0,1.0
145,6.0,0.02393547214043092,-0.36642551123533773,-0.018222250998296215,0.5819065352990411,0.0,141.0,1.0
146,6.0,0.016606961915724167,-0.17105304993586395,-0.006584120292315393,0.2835394518222533,1.0,142.0,1.0
147,6.0,0.013185900917006887,-0.366080475760024,-0.0009133312558703265,0.5741385322784961,0.0,143.0,1.0
148,6.0,0.005864291401806407,-0.17094573167434832,0.010569439389699595,0.2811680188803251,1.0,144.0,1.0
149,6.0,0.002445376768319441,-0.36621684154537715,0.016192799767306098,0.5771656804153,0.0,145.0,1.0
150,6.0,-0.004878960062588102,-0.5615619707265107,0.027736113375612097,0.8749054345028076,0.0,146.0,1.0
151,6.0,-0.016110199477118316,-0.3668278403061422,0.04523422206566825,0.5910699590752464,1.0,147.0,1.0
152,6.0,-0.02344675628324116,-0.1723674111925414,0.057055621247173186,0.3129720102602907,1.0,148.0,1.0
153,6.0,-0.02689410450709199,-0.3682537907199679,0.063315061452379,0.623088704208332,0.0,149.0,1.0
154,6.0,-0.03425918032149135,-0.5641999824682711,0.07577683553654564,0.9350212507487086,0.0,150.0,1.0
155,6.0,-0.04554317997085677,-0.7602577404048982,0.09447726055151981,1.2505210247996914,0.0,151.0,1.0
156,6.0,-0.060748334778954735,-0.5664649505297283,0.11948768104751364,0.9888632256024059,1.0,152.0,1.0
157,6.0,-0.0720776337895493,-0.7629662395033805,0.13926494555956176,1.3165593752881894,0.0,153.0,1.0
158,6.0,-0.08733695857961692,-0.959547810621131,0.16559613306532556,1.649388539428728,0.0,154.0,1.0
159,6.0,-0.10652791479203953,-0.7667034808181735,0.19858390385390012,1.4125421935341091,1.0,155.0,1.0
160,6.0,-0.121861984408403,-0.5745185013058355,0.22683474772458231,1.187930953050483,1.0,156.0,1.0
161,7.0,-0.016522117263791217,0.18020305248528642,-0.031098401995342626,-0.2639948904201027,1.0,157.0,1.0
162,7.0,-0.01291805621408549,0.37575476505725713,-0.03637829980374468,-0.5663220871611755,1.0,158.0,1.0
163,7.0,-0.005402960912940347,0.5713676605934304,-0.04770474154696819,-0.87024016045226,1.0,159.0,1.0
164,7.0,0.0060243922989282606,0.3769259479895141,-0.06510954475601338,-0.5929292780438062,0.0,160.0,1.0
165,7.0,0.013562911258718544,0.18277294912399025,-0.07696813031688951,-0.3214455436881163,0.0,161.0,1.0
166,7.0,0.01721837024119835,0.37890178211385,-0.08339704119065183,-0.637374103763513,1.0,162.0,1.0
167,7.0,0.02479640588347535,0.1850357448146444,-0.0961445232659221,-0.37207604364248636,0.0,163.0,1.0
168,7.0,0.028497120779768237,-0.008598234597249815,-0.10358604413877183,-0.11118943344447518,0.0,164.0,1.0
169,7.0,0.02832515608782324,0.1878437597510676,-0.10580983280766133,-0.43467282439686583,1.0,165.0,1.0
170,7.0,0.03208203128284459,-0.005633586316110634,-0.11450328929559865,-0.1771299559878624,0.0,166.0,1.0
171,7.0,0.03196935955652238,0.19092495237637133,-0.1180458884153559,-0.5036275189930867,1.0,167.0,1.0
172,7.0,0.03578785860404981,-0.002352718320416086,-0.12811843879521764,-0.2503535820508443,0.0,168.0,1.0
173,7.0,0.035740804237641484,-0.19543448248771997,-0.13312551043623452,-0.0006685272530019548,0.0,169.0,1.0
174,7.0,0.03183211458788708,-0.3884209141571079,-0.13313888098129456,0.24722637252413093,0.0,170.0,1.0
175,7.0,0.024063696304744923,-0.19167363760585096,-0.12819435353081193,-0.08431004549589605,1.0,171.0,1.0
176,7.0,0.020230223552627904,-0.38474716034026524,-0.12988055444072985,0.1653378026727855,0.0,172.0,1.0
177,7.0,0.012535280345822599,-0.18802831368794296,-0.12657379838727414,-0.16533274945647322,1.0,173.0,1.0
178,7.0,0.00877471407206374,0.0086568604746399,-0.1298804533764036,-0.49511376783006233,1.0,174.0,1.0
179,7.0,0.008947851281556538,0.20534821922125404,-0.13978272873300485,-0.8257434097806223,1.0,175.0,1.0
180,7.0,0.013054815665981618,0.40207672853492116,-0.1562975969286173,-1.1589203469306628,1.0,176.0,1.0
181,7.0,0.021096350236680043,0.5988510425824413,-0.17947600386723056,-1.4962485414701279,1.0,177.0,1.0
182,7.0,0.03307337108832887,0.7956432505559901,-0.20940097469663313,-1.8391784738210184,1.0,178.0,1.0
183,7.0,0.048986236099448674,0.6033593617660822,-0.2461845441730535,-1.6181680816273718,0.0,179.0,1.0
184,8.0,-0.018792858908102898,0.20252124112283848,-0.03546924251978335,-0.31718120510974784,1.0,180.0,1.0
185,8.0,-0.014742434085646128,0.3981299671190266,-0.04181286662197831,-0.6208355176930525,1.0,181.0,1.0
186,8.0,-0.006779834743265595,0.20361612514975713,-0.05422957697583936,-0.3416091723986796,0.0,182.0,1.0
187,8.0,-0.0027075122402704524,0.3994660104739294,-0.06106176042381296,-0.6508878150412594,1.0,183.0,1.0
188,8.0,0.005281807969208136,0.2052452980922554,-0.07407951672463814,-0.3780407010602538,0.0,184.0,1.0
189,8.0,0.009386713931053243,0.011249309214332315,-0.08164033074584322,-0.10960427071783757,0.0,185.0,1.0
190,8.0,0.00961170011533989,-0.18261361577144558,-0.08383241616019997,0.15624595868577856,0.0,186.0,1.0
191,8.0,0.0059594277999109775,-0.3764414671321891,-0.0807074969864844,0.42134881415912195,0.0,187.0,1.0
192,8.0,-0.0015694015427328055,-0.570332727718442,-0.07228052070330196,0.6875367539581081,0.0,188.0,1.0
193,8.0,-0.012976056097101646,-0.37428589397257717,-0.058529785624139796,0.373002375929984,1.0,189.0,1.0
194,8.0,-0.020461773976553188,-0.568529664022351,-0.051069738105540115,0.6466711687989273,0.0,190.0,1.0
195,8.0,-0.031832367257000206,-0.7629042380594422,-0.03813631472956157,0.9228449213389679,0.0,191.0,1.0
196,8.0,-0.04709045201818905,-0.9574907700743631,-0.01967941630278221,1.2033031342721234,0.0,192.0,1.0
197,8.0,-0.06624026741967631,-1.152352839131898,0.004386646382660259,1.4897542651823326,0.0,193.0,1.0
198,8.0,-0.08928732420231428,-0.9572845745903702,0.03418173168630691,1.198444353491072,1.0,194.0,1.0
199,8.0,-0.10843301569412168,-0.7626212059415765,0.05815061875612835,0.916667338360355,1.0,195.0,1.0
200,8.0,-0.12368543981295321,-0.9584791934203571,0.07648396552333545,1.227044388388451,0.0,196.0,1.0
201,8.0,-0.14285502368136035,-0.7644205243729644,0.10102485329110447,0.9592717416236773,1.0,197.0,1.0
202,8.0,-0.15814343416881965,-0.960744826904298,0.12021028812357802,1.2819075162449582,0.0,198.0,1.0
203,8.0,-0.1773583307069056,-1.1571752529052521,0.1458484384484772,1.6096835955373785,0.0,199.0,1.0
204,8.0,-0.20050183576501063,-0.9640465367502647,0.17804211035922476,1.3657937874495805,1.0,200.0,1.0
205,8.0,-0.21978276650001594,-1.1608941727672717,0.20535798610821637,1.7084659612851383,0.0,201.0,1.0
206,8.0,-0.24300064995536136,-0.9686395177840443,0.23952730533391914,1.4860952326105608,1.0,202.0,1.0
207,9.0,0.01651024699476888,-0.2180981919319101,0.04168779467309003,0.28366510626761293,0.0,203.0,1.0
208,9.0,0.012148283156130679,-0.02359485956722171,0.04736109679844229,0.004416249449351428,1.0,204.0,1.0
209,9.0,0.011676385964786245,-0.21936291520258727,0.04744942178742932,0.3116580104133289,0.0,205.0,1.0
210,9.0,0.0072891276607344995,-0.02494794639841924,0.0536825819956959,0.03430867788890585,1.0,206.0,1.0
211,9.0,0.006790168732766114,0.16936472355045468,0.054368755553474014,-0.2409653476101441,1.0,207.0,1.0
212,9.0,0.010177463203775208,0.3636695764968074,0.04954944860127113,-0.5160154244594144,1.0,208.0,1.0
213,9.0,0.017450854733711357,0.5580600525092589,0.039229140112082846,-0.7926816909747054,1.0,209.0,1.0
214,9.0,0.028612055783896535,0.36242213544231394,0.023375506292588735,-0.4879201812873976,0.0,210.0,1.0
215,9.0,0.035860498492742816,0.1669783087731673,0.013617102666840783,-0.18796275960785397,0.0,211.0,1.0
216,9.0,0.039200064668206164,0.3619028197794786,0.009857847474683703,-0.47631911409493183,1.0,212.0,1.0
217,9.0,0.04643812106379574,0.5568841997862644,0.00033146519278506696,-0.765878813200219,1.0,213.0,1.0
218,9.0,0.05757580505952103,0.7520015854271149,-0.014986111071219313,-1.058457424818561,1.0,214.0,1.0
219,9.0,0.07261583676806332,0.9473188385259899,-0.03615525956759053,-1.355806158045419,1.0,215.0,1.0
220,9.0,0.09156221353858313,0.7526687390099462,-0.06327138272849891,-1.0746491539630665,0.0,216.0,1.0
221,9.0,0.10661558831878205,0.5584373504850664,-0.08476436580776024,-0.8024744245447846,0.0,217.0,1.0
222,9.0,0.11778433532848338,0.3645737158980895,-0.10081385429865594,-0.5376139213484412,0.0,218.0,1.0
223,9.0,0.12507580964644519,0.5609577795897833,-0.11156613272562477,-0.8602834246090456,1.0,219.0,1.0
224,9.0,0.13629496523824086,0.3675176652280335,-0.12877180121780568,-0.6046596337045577,0.0,220.0,1.0
225,9.0,0.14364531854280152,0.17440934832611169,-0.14086499389189683,-0.355149824455124,0.0,221.0,1.0
226,9.0,0.14713350550932375,-0.018458106994678786,-0.1479679903809993,-0.10999167268124146,0.0,222.0,1.0
227,9.0,0.14676434336943017,-0.21118405243384195,-0.15016782383462413,0.13259426491442733,0.0,223.0,1.0
228,9.0,0.14254066232075333,-0.014265757514908328,-0.14751593853633557,-0.20344259171579532,1.0,224.0,1.0
229,9.0,0.14225534717045515,-0.20700393700022257,-0.15158479037065148,0.0393121902617008,0.0,225.0,1.0
230,9.0,0.13811526843045072,-0.39966386909208107,-0.15079854656541747,0.2805927915420868,0.0,226.0,1.0
231,9.0,0.1301219910486091,-0.5923491359449035,-0.14518669073457574,0.5221737049243221,0.0,227.0,1.0
232,9.0,0.11827500832971104,-0.3955140858537894,-0.1347432166360893,0.18749242306937008,1.0,228.0,1.0
233,9.0,0.11036472661263524,-0.5884767370149422,-0.1309933681747019,0.4348180960986689,0.0,229.0,1.0
234,9.0,0.0985951918723364,-0.7815245629576106,-0.12229700625272852,0.6835069618356584,0.0,230.0,1.0
235,9.0,0.08296470061318419,-0.9747552188064307,-0.10862686701601534,0.9353223378848219,0.0,231.0,1.0
236,9.0,0.06346959623705557,-1.16825764386146,-0.08992042025831891,1.1919916628336846,0.0,232.0,1.0
237,9.0,0.04010444335982637,-0.9720932665937921,-0.06608058700164521,0.8725328960424604,1.0,233.0,1.0
238,9.0,0.020662578027950525,-1.166257379988985,-0.048629929080796,1.1437298566284213,0.0,234.0,1.0
239,9.0,-0.002662569571829178,-0.9705349820904416,-0.025755331948227572,0.8362017702477748,1.0,235.0,1.0
240,9.0,-0.02207326921363801,-0.7750708779617491,-0.009031296543272078,0.535531622145248,1.0,236.0,1.0
241,9.0,-0.03757468677287299,-0.5798231039213446,0.001679335899632881,0.24001673985307276,1.0,237.0,1.0
242,9.0,-0.04917114885129988,-0.38472518266647693,0.006479670696694336,-0.052136004850056816,1.0,238.0,1.0
243,9.0,-0.056865652504629424,-0.5799394423417518,0.005436950599693199,0.24258424731965478,0.0,239.0,1.0
244,9.0,-0.06846444135146446,-0.3848955731376586,0.010288635546086295,-0.04837877671027879,1.0,240.0,1.0
245,9.0,-0.07616235281421763,-0.1899226522244444,0.00932106001188072,-0.33779787343913653,1.0,241.0,1.0
246,9.0,-0.07996080585870652,0.005065427193602479,0.002565102543097989,-0.6275269349572923,1.0,242.0,1.0
247,9.0,-0.07985949731483447,0.2001514828010802,-0.009985436156047856,-0.9194009163351143,1.0,243.0,1.0
